filename	tags	description
image197.gif	луна, месяц, астрология, ночь, звёзды, gif	Контурный полумесяц с кратерами и звёздами.
image198.gif	мешки денег, доллар, богатство, финансы, изобилие, gif	Множество зелёных мешков с долларами.
image199.gif	планета, космос, мультяшный, весёлый, астрология, gif	Милая мультяшная планета с кольцом и улыбкой.
image200.gif	видео, воспроизведение, повтор, кнопка, обучение, gif	Кнопка воспроизведения с круговыми стрелками повтора.
image201.gif	планета, космос, орбита, астрология, gif	Контурная планета с красным кольцом и центром.
image202.gif	стрелка, направление, движение, вправо, gif	Чёрная горизонтальная стрелка вправо.
image203.gif	деньги, купюра, крылья, финансы, рубль, gif	Банкнота с рублёвым символом и крыльями, летящая со звёздами.
image204.gif	планета, космос, скетч, синий, астрология, gif	Синяя планета с кольцом, нарисованная хаотичными линиями.
image205.gif	кошелёк, оплата, финансы, подтверждение, успех, gif	Два кошелька, один с зелёной галочкой подтверждения.
image206.gif	планета, космос, астрология, тёмно-синий, gif	Тёмно-синяя планета с горизонтальными полосами и спутниками.
image207.gif	планета, юпитер, космос, астрология, gif	Жёлто-оранжевая планета с волнистыми полосами — Юпитер.
image208.gif	планета, космос, орбита, контур, астрология, gif	Минималистичная чёрная планета с кольцом от руки.
image209.gif	рука, деньги, купюры, оплата, финансы, рубль, gif	Рука держит веер зелёных банкнот с монетой рубля.
image210.gif	барьер, запрет, ограничение, предупреждение, gif	Дорожный барьер с жёлто-чёрными полосами — ограничение.
image211.gif	деньги, рубли, монеты, купюры, финансы, богатство, gif	Зелёная купюра и золотые монеты со звёздочками — финансовый достаток.
image212.gif	деньги, рубли, купюры, монеты, финансы, поток, gif	Летящие зелёные купюры и золотые монеты — денежный поток.
image213.gif	девушка, деньги, монеты, радость, богатство, успех, gif	Радостная девушка на мешке с монетами, подбрасывает золото.
image214.gif	денежное дерево, рост, инвестиции, монеты, рубли, gif	Растение в горшке с золотыми монетами вместо плодов — рост финансов.
image215.gif	голова, грусть, негативные мысли, эмоции, психология, gif	Силуэт головы с грустным смайлом — негативные мысли.
image216.gif	эмодзи, грусть, тревога, страх, эмоция, gif	Жёлтый грустный смайлик с тревожным выражением.
image217.gif	рука, деньги, купюры, рубли, оплата, gif	Рука держит веер из зелёных купюр с символом рубля.
image218.gif	астрология, знак зодиака, Стрелец, gif	Анимированный символ знака зодиака Стрелец.
image219.gif	сейф, деньги, монеты, богатство, накопления, gif	Открытый сейф с золотыми монетами и купюрами.
image22.png	девушка, рубль, телефон, размышление, финансы	Девочка-стикмен сидит с телефоном и думает о рублях.
image220.gif	график, рост, успех, бизнес, статистика, gif	Столбчатый график с растущей стрелкой вверх — рост и успех.
image221.gif	копилка, свинья, сбережения, финансы, gif	Розовая свинья-копилка — символ накоплений.
image222.gif	денежное дерево, рубли, купюры, богатство, gif	Дерево с листьями из зелёных купюр и золотых монет.
image223.gif	астрология, знак зодиака, Телец, gif	Анимированный символ знака зодиака Телец.
image224.gif	банка, деньги, монеты, накопления, сбережения, gif	Стеклянная банка с монетами и купюрой — копилка.
image225.gif	огонь, распродажа, sale, акция, скидка, gif	Огненный значок с надписью SALE — горячая распродажа.
image226.gif	сердце, огонь, любовь, страсть, эмоция, gif	Пылающее сердце в огне — символ страсти и любви.
image227.gif	астрология, знак зодиака, Скорпион, gif	Анимированный символ знака зодиака Скорпион.
image228.gif	маски, театр, эмоции, радость, грусть, дуальность, gif	Две театральные маски — улыбающаяся и грустная.
image229.gif	процент, скидка, акция, бейдж, gif	Значок со знаком процента — скидка или спецпредложение.
image23.png	девушка, деньги, радость, рубли, телефон	Весёлая девочка-стикмен бежит с телефоном, на экране 1000 рублей.
image230.gif	деньги, рубли, купюры, монеты, финансы, gif	Разлетающиеся зелёные купюры и золотые монеты.
image231.gif	мешок денег, монеты, рубли, богатство, gif	Большой мешок с монетами и символом рубля.
image232.gif	перевод денег, смартфон, оплата, мобильный банкинг, gif	Две руки со смартфонами осуществляют денежный перевод.
image233.gif	галочка, чекбокс, выполнено, подтверждение, успех, gif	Чекбокс с галочкой — выполненная задача.
image234.gif	часы, время, таймер, дедлайн, gif	Круглые аналоговые часы — символ времени и срочности.
image235.gif	огонь, топ, лучшее, рейтинг, gif	Огненный значок с надписью TOP — лучшее предложение.
image236.gif	кнопка, TOP, лейбл, навигация, интерфейс, gif	Чёрная кнопка с надписью TOP в пунктирной рамке.
image237.gif	пара, дети, цветок, дружба, любовь, отношения, gif	Мальчик и девочка держат вместе цветок, улыбаясь друг другу.
image238.gif	огонь, стрелка вверх, рост, энергия, мотивация, gif	Силуэт пламени с направленной вверх стрелкой — символ роста и энергии.
image239.gif	кнопка, TOP, табличка, навигация, интерфейс, gif	Зелёная табличка с надписью Top, прикреплённая красной кнопкой.
image24.png	девушка, вопрос, растерянность, недоумение, эмоция	Девочка-стикмен с вопросительными знаками над головой — замешательство.
image240.gif	песочные часы, время, ожидание, астрология, gif	Золотые песочные часы с блеском — символ течения времени.
image241.gif	звёзды, рейтинг, успех, достижения, gif	Множество золотых звёзд — символ высокой оценки и успеха.
image242.gif	будильник, деньги, доллар, время-деньги, финансы, gif	Будильник рядом с монетой с символом доллара — время и деньги.
image243.gif	стрелка, вверх, навигация, рост, интерфейс, gif	Тёмная стрелка вверх в круге — кнопка прокрутки наверх.
image244.gif	кнопка, TOP, клик, навигация, интерфейс, gif	Красная кнопка TOP с курсором мыши — призыв к действию.
image245.gif	звезда, шестиугольник, значок, рейтинг, достижение, gif	Звезда внутри шестиугольника — знак качества или достижения.
image246.gif	стрелка, вверх, кнопка, навигация, интерфейс, gif	Стрелка вверх на фиолетово-белом круглом фоне.
image247.gif	смартфон, галочка, подтверждение, успех, мобильный, gif	Два смартфона, на одном зелёная галочка — символ подтверждения.
image248.gif	воспроизведение, видео, плей, обучение, кнопка, gif	Кнопка воспроизведения (треугольник) в скруглённом квадрате.
image249.gif	стрелка, вверх, рост, навигация, движение, gif	Крупная стрелка вверх — символ движения вперёд и роста.
image25.png	девушка, разбитое сердце, слёзы, грусть, эмоция	Плачущая девочка-стикмен держит разбитое сердце.
image250.gif	мегафон, сердечки, реклама, любовь, объявление, gif	Мегафон с летящими сердечками — объявление с любовью.
image251.gif	карта мира, маршрут, путешествие, метки, глобальный, gif	Карта мира с красными крестиками и пунктирным маршрутом.
image252.gif	замок, закрытый, безопасность, защита, красный, gif	Красный закрытый замок с синей дужкой — символ защиты.
image253.gif	стикмен, кубок, бег, победа, успех, gif	Схематичный человечек бежит с кубком победителя в руках.
image254.gif	стоп, барьер, запрет, ограничение, предупреждение, gif	Дорожный барьер со знаком STOP — символ запрета или ограничения.
image255.gif	карта, маршрут, навигация, путешествие, метки, gif	Сложенная карта с двумя красными пин-метками и пунктирным маршрутом.
image256.gif	замок, открытый, доступ, разблокировка, безопасность, gif	Открытый замок с точками вокруг — символ разблокировки доступа.
image257.gif	знак зодиака, Дева, астрология, gif	Анимированный символ знака зодиака Дева.
image258.gif	рука, кольцо, предложение, выбор, отношения, gif	Рука держит кольцо с бриллиантом, вопросы YES и NO — предложение руки.
image259.gif	замок, сломан, взлом, разблокировка, gif	Разбитый замок и указывающая рука — взлом или снятие блокировки.
image26.png	девушка, сумка, шопинг, радость, движение	Улыбающаяся девочка-стикмен идёт с сумкой для покупок.
image260.gif	банковская карта, замок, безопасность, финансы, оплата, gif	Банковские карты с зелёным открытым замком и полем пароля.
image261.gif	фото, соцсети, девушка, природа, публикация, gif	Пост в соцсетях с девушкой на фоне горного пейзажа.
image262.gif	кубок, победа, пьедестал, первое место, успех, gif	Золотой кубок на цветном пьедестале — символ победы.
image263.gif	стрелки, вверх, три, красный, движение, рост, gif	Три красные стрелки шевроны, направленные вверх — рост и движение.
image264.gif	свадьба, пара, церемония, счастье, любовь, gif	Жених и невеста под цветочной аркой на свадебной церемонии.
image265.gif	замок, зелёный, безопасность, кнопка, защита, gif	Белый замок на зелёном круглом фоне — символ защиты и доступа.
image266.gif	кольца, сердце, любовь, свадьба, союз, gif	Два переплетённых кольца с красным сердцем — символ брака и любви.
image267.gif	стрелка, вверх, красная, рост, динамика, gif	Красная изогнутая стрелка вверх — символ роста или перенаправления.
image268.gif	кольцо, бриллиант, свадьба, украшение, помолвка, gif	Силуэт кольца с бриллиантом — символ помолвки.
image269.gif	свадьба, пара, селфи, жених, невеста, gif	Жених и невеста делают весёлое селфи в день свадьбы.
image27.gif	книга, солнце, астрология, магия, знания, gif	Книга с символом солнца и звёздами — магический астрологический учебник.
image270.gif	глобус, геолокация, метка, мир, навигация, gif	Фиолетовый глобус с розовой пин-меткой — геолокация на карте мира.
image271.gif	кубок, трофей, победа, успех, достижение, gif	Золотой изометрический кубок трофея с блеском.
image272.gif	огонь, пламя, энергия, мотивация, жар, gif	Яркое анимированное пламя оранжево-красного цвета.
image273.gif	часы, время, циферблат, расписание, таймер, gif	Круглые настенные часы, показывающие около 9:00.
image274.gif	сообщение, печатает, чат, диалог, ожидание, gif	Серый пузырь сообщения с тремя точками — индикатор печати.
image275.gif	медаль, звезда, лавр, награда, достижение, gif	Золотая медаль с лавровым венком и звездой на ленте.
image276.gif	глобус, путешествие, туризм, мир, приключение, gif	Цветной глобус с пин-метками, воздушным шаром, камерой и очками.
image277.gif	человек, кубок, сила, победа, успех, gif	Силуэт человека, показывающего мышцу рядом с кубком.
image278.gif	девушка, платье, букет, радость, свадьба, gif	Девушка в красном платье танцует с букетом цветов.
image279.gif	девушка, компас, навигация, направление, выбор пути, gif	Женщина смотрит на большой компас — поиск своего пути.
image4.gif	свиток, астрология, перо, гороскоп, магия, gif	Астрологический свиток с символом солнца и пером — гороскоп.
image74.gif	пара, объятия, любовь, сердечки, отношения, gif	Два влюблённых стикмена обнимаются с сердечками над головами.
image91.gif	скидка, 50%, распродажа, акция, цена, gif	Красный зубчатый значок с надписью 50% OFF — распродажа.
image92.gif	телефон, трубка, звонок, связь, контакт, gif	Классическая телефонная трубка — символ звонка или связи.
image93.gif	скидка, 50%, распродажа, акция, цена, gif	Красный круглый значок с пунктиром и надписью 50% OFF.
image94.gif	знак зодиака, Овен, астрология, gif	Анимированный символ знака зодиака Овен.
image95.gif	знак зодиака, Водолей, астрология, gif	Анимированный символ знака зодиака Водолей.
image96.gif	стрелка, влево, назад, навигация, интерфейс, gif	Чёрная стрелка-шеврон, направленная влево — кнопка назад.
image98.gif	книга, солнце, астрология, магия, знания, gif	Книга с символом солнца и звёздами — магический астрологический учебник.
